                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    130,                 1.8474,                0.78983,                0.96635,                0.96375,                0.94943,                0.96548,                0.36811,                 2.0977,                0.79391,                 1.0032,             0.00040707,             0.00040707,             0.00040707
                    131,                 1.8486,                0.79561,                0.96889,                 0.9667,                0.94095,                0.96128,                0.36652,                 2.0953,                0.80891,                 1.0039,             0.00040157,             0.00040157,             0.00040157
                    132,                 1.8417,                0.79689,                 0.9582,                0.96737,                0.93758,                0.95866,                0.36041,                 2.1144,                0.81005,                 1.0075,             0.00039607,             0.00039607,             0.00039607
                    133,                 1.8403,                0.78783,                0.96032,                0.95639,                0.93971,                0.95968,                0.36217,                 2.0979,                0.80517,                 1.0057,             0.00039057,             0.00039057,             0.00039057
                    134,                 1.8468,                0.78361,                0.97335,                0.97036,                0.93911,                0.96661,                 0.3594,                 2.1273,                0.80363,                 1.0121,             0.00038507,             0.00038507,             0.00038507
                    135,                 1.8118,                0.77783,                0.96478,                0.96782,                0.93577,                0.96269,                0.36493,                 2.1072,                 0.7964,                 1.0073,             0.00037957,             0.00037957,             0.00037957
                    136,                 1.8329,                0.77592,                0.96423,                0.96113,                0.94178,                0.96172,                0.36126,                 2.1015,                0.79892,                 1.0054,             0.00037407,             0.00037407,             0.00037407
                    137,                 1.8393,                0.78276,                0.96853,                0.96379,                0.94323,                0.96266,                0.36494,                 2.1064,                0.80127,                 1.0069,             0.00036857,             0.00036857,             0.00036857
                    138,                 1.8262,                 0.7798,                0.96581,                0.96082,                0.94426,                0.96191,                0.36246,                 2.1321,                0.79555,                 1.0109,             0.00036307,             0.00036307,             0.00036307
                    139,                 1.8234,                0.78049,                0.96421,                0.96775,                0.94698,                0.96328,                0.36189,                 2.1262,                 0.8001,                 1.0102,             0.00035758,             0.00035758,             0.00035758
                    140,                  1.829,                0.78671,                0.96132,                0.96682,                 0.9369,                0.96033,                0.36037,                 2.1144,                0.80218,                 1.0092,             0.00035208,             0.00035208,             0.00035208
                    141,                 1.8233,                0.78166,                0.96046,                0.96557,                0.94675,                0.96403,                0.36147,                 2.1158,                0.79813,                 1.0088,             0.00034658,             0.00034658,             0.00034658
                    142,                 1.8373,                0.78541,                0.96631,                0.96745,                0.94845,                0.96443,                0.36581,                 2.1034,                0.79505,                 1.0061,             0.00034108,             0.00034108,             0.00034108
                    143,                 1.8169,                0.78252,                0.96283,                0.97328,                  0.946,                0.96518,                0.36304,                 2.1128,                0.80031,                  1.008,             0.00033558,             0.00033558,             0.00033558
                    144,                 1.8271,                0.78373,                0.96339,                0.96522,                0.94496,                0.96067,                 0.3638,                 2.0931,                0.80769,                 1.0032,             0.00033008,             0.00033008,             0.00033008
